"id","uuid","date","province","patrol_crime","patrol_case","patrol_exhibit","patrol_enforcement","patrol_amount","patrol_remarkcrime","patrol_othercrime","patrol_otherenforce"
446539591,NA,"2023-05-30",25,10,1,1,"[""4""]",1,NA,NA,NA
446540965,NA,"2023-06-29",25,3,3,3,"[""2""]",0,NA,NA,NA
446579358,NA,"2023-01-20",7,88,2,3,"[""1"", ""2""]",0,NA,NA,NA
446579358,NA,"2023-01-20",7,88,5,50,"[""1"", ""2""]",0,NA,NA,NA
446607959,NA,"2023-02-19",7,2,1,3,"[""1"", ""2""]",0,NA,NA,NA
446607959,NA,"2023-02-19",7,88,2,20,"[""1"", ""2""]",0,NA,NA,NA
446622916,NA,"2023-03-20",7,88,2,30,"[""1"", ""2""]",0,NA,NA,NA
446622916,NA,"2023-03-20",7,88,2,6,"[""1"", ""2""]",0,NA,NA,NA
446660962,NA,"2023-04-20",7,88,2,20,"[""1"", ""2""]",0,NA,NA,NA
446660962,NA,"2023-04-20",7,88,3,6,"[""1"", ""2""]",0,NA,NA,NA
446856012,NA,"2023-02-28",14,2,4,7,"[""3""]",4,NA,NA,NA
446856012,NA,"2023-02-28",14,3,2,3,"[""2""]",3,NA,NA,NA
446878521,NA,"2023-04-30",14,3,1,3,"[""2""]",3,NA,NA,NA
446878521,NA,"2023-04-30",14,1,1,1,"[""3""]",1,NA,NA,NA
446947444,NA,"2023-05-19",7,88,2,30,"[""1"", ""2""]",0,NA,NA,NA
446947444,NA,"2023-05-19",7,88,2,4,"[""1"", ""2""]",0,NA,NA,NA
446967183,NA,"2023-06-18",7,88,3,60,"[""1"", ""2""]",0,NA,NA,NA
446967183,NA,"2023-06-18",7,88,3,7,"[""1"", ""2""]",0,NA,NA,NA
447382580,NA,"2023-06-30",8,2,1,1,"[""1"", ""2""]",1,NA,NA,NA
447424699,NA,"2023-06-30",5,88,0,0,"[""88""]",0,NA,NA,NA
447554968,NA,"2023-06-22",9,3,1,3,"[""1"", ""2""]",1,NA,NA,NA
447554968,NA,"2023-06-22",9,88,1,1,"[""1"", ""88""]",1,NA,NA,NA
